Model,Epochs,Acc_Clean_No_Attack_mean,Acc_Clean_No_Attack_std,Acc_FGSM_eps0005_mean,Acc_FGSM_eps0005_std,Acc_PGD_eps0005__10_steps_mean,Acc_PGD_eps0005__10_steps_std,Acc_PGD_eps0005__20_steps_mean,Acc_PGD_eps0005__20_steps_std
TSCMamba,185.4,0.9305405405405406,0.01354650627123024,0.07243243243243239,0.04276765501589725,0.01810810810810809,0.027178255582274092,0.012162162162162152,0.01798420250241181
iTransformer,271.0,0.968108108108108,0.0039884583101222745,0.9208108108108108,0.006747741733720387,0.9202702702702703,0.006650821198303376,0.9208108108108108,0.0058454516027057245
TSCMamba,210.0,0.9386486486486486,0.010814563913097357,0.14027027027027023,0.04892231999193614,0.059729729729729675,0.025463801010820727,0.043243243243243204,0.020464534579460427
iTransformer,388.7,0.9791891891891893,0.0036148473239169337,0.9535135135135135,0.005810636214989914,0.9532432432432433,0.006116845115952367,0.9532432432432433,0.006116845115952367
TSCMamba,84.9,0.34648648648648644,0.04416803912950414,0.0029729729729729704,0.005007907066553976,0.00162162162162162,0.00341867855153338,0.00189189189189189,0.0040390111299927695
iTransformer,323.3,0.9764864864864865,0.003382879883877191,0.9481081081081081,0.005810636214989918,0.9478378378378378,0.005845451602705676,0.9478378378378378,0.005845451602705676
TSCMamba,104.1,0.3037837837837838,0.03149805172383734,0.00027027027027027,0.0008546696378833451,0.0,0.0,0.0,0.0
iTransformer,358.2,0.9783783783783784,0.0033708625106071695,0.9521621621621623,0.007649704401929243,0.9524324324324326,0.007770759874900071,0.9527027027027029,0.007122246982361201
TSCMamba,303.1,0.9278378378378378,0.023837299878848757,0.48567567567567566,0.055638198412926256,0.43675675675675674,0.06027558925612993,0.4159459459459459,0.0597243621302421
TSCMamba,295.5,0.9043243243243243,0.027773475845762417,0.4545945945945945,0.05755621707104226,0.41324324324324324,0.06146561042166384,0.4008108108108108,0.061999395207430565
